"name","Long","Lat","Rank","Sardegna","Lipari","Palmarola"
"Peiro Signado",3.32891,43.3083,1,1,0,1
"Arene Candide I",8.32828,44.1623,1,1,0,1
"Grotta Pollera",8.314602,44.20055,1,1,0,1
"Le Secche",10.882183,42.38172,2,1,1,1
"Basi I",8.79853,41.72871,1,1,0,0
"Renaghju",8.921266,41.526647,3,1,0,1
"Monte Arci",8.745,39.77778,4,1,NA,NA
