"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",400
"Piana di Curinga","Favella",400
"Piana di Curinga","Pulo di Molfetta Fondo Azzolini",400
"Piana di Curinga","Terragne",400
"Piana di Curinga","Coppa Nevigata",400
"Piana di Curinga","Grotta San Michele Arcangelo I",400
"Piana di Curinga","Ripatetta",400
"Piana di Curinga","Torre Sabea",400
"Piana di Curinga","Rio Tana",400
"Piana di Curinga","Scamuso I",400
"Piana di Curinga","Trasano",400
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",400
"Piana di Curinga","Masseria Candelaro II",400
"Piana di Curinga","Trasanello I",400
"Piana di Curinga","Palata 1",400
"Le Secche","Ripatetta",400
"Le Secche","Kargadur",400
"Le Secche","Rio Tana",400
"Le Secche","Arene Candide I",400
"Le Secche","Grotta Pollera",400
"Le Secche","Grotta dei Cocci",400
"Le Secche","Basi I",400
"Le Secche","Maddalena di Muccia",400
"Le Secche","Villaggio Ortucchio",400
"Le Secche","Grotta Sant'Angelo I",400
"Colle Santo Stefano","Le Macchie (Ripagnola Polignano a mare)",400
"Colle Santo Stefano","Susac Poje",400
"Colle Santo Stefano","Favella",400
"Colle Santo Stefano","Pulo di Molfetta Fondo Azzolini",400
"Colle Santo Stefano","Terragne",400
"Colle Santo Stefano","Coppa Nevigata",400
"Colle Santo Stefano","Grotta San Michele Arcangelo I",400
"Colle Santo Stefano","Ripatetta",400
"Colle Santo Stefano","Kargadur",400
"Colle Santo Stefano","Rio Tana",400
"Colle Santo Stefano","Scamuso I",400
"Colle Santo Stefano","Trasano",400
"Colle Santo Stefano","Durdeva greda",400
"Colle Santo Stefano","Grotta dei Cocci",400
"Colle Santo Stefano","Masseria Candelaro II",400
"Colle Santo Stefano","Le Secche",400
"Colle Santo Stefano","Trasanello I",400
"Colle Santo Stefano","Palata 1",400
"Colle Santo Stefano","Maddalena di Muccia",400
"Colle Santo Stefano","Villaggio Ortucchio",400
"Colle Santo Stefano","Grotta Sant'Angelo I",400
"Colle Santo Stefano","Barice Smilcic",400
"Colle Santo Stefano","Renaghju",400
"Renaghju","Arene Candide I",400
"Renaghju","Grotta Pollera",400
"Renaghju","Grotta dei Cocci",400
"Renaghju","Basi I",400
"Renaghju","Maddalena di Muccia",400
"Renaghju","Villaggio Ortucchio",400
"Palmarola","Colle Santo Stefano",400
