"from","to","distance_rule_km"
"Piana di Curinga","Favella",200
"Piana di Curinga","Grotta San Michele Arcangelo I",200
"Piana di Curinga","Scamuso I",200
"Le Secche","Grotta dei Cocci",200
"Le Secche","Basi I",200
"Le Secche","Maddalena di Muccia",200
"Colle Santo Stefano","Coppa Nevigata",200
"Colle Santo Stefano","Ripatetta",200
"Colle Santo Stefano","Rio Tana",200
"Colle Santo Stefano","Grotta dei Cocci",200
"Colle Santo Stefano","Masseria Candelaro II",200
"Colle Santo Stefano","Maddalena di Muccia",200
"Colle Santo Stefano","Villaggio Ortucchio",200
"Colle Santo Stefano","Grotta Sant'Angelo I",200
"Renaghju","Le Secche",200
"Renaghju","Basi I",200
"Monte Arci","Renaghju",200
"Palmarola","Colle Santo Stefano",200
