"Source","Source_label","Source_node","Filter_type","Backbone_network","Backbone_rule_set","Fallback_used","Fallback_reason","Confirmed_sites","Vertices","Edges"
"Sardegna","Monte Arci / Sardegna","Monte Arci","confirmed_only","Rule_A_650km","Rule_A",FALSE,NA,6,7,10
"Lipari","Lipari","Lipari","confirmed_only","Rule_A_650km","Rule_A",FALSE,NA,15,16,25
"Palmarola","Palmarola","Palmarola","confirmed_only","Rule_A_650km","Rule_A",FALSE,NA,15,16,36
