"sites","Long","Lat","ID","blade","flake","core","by.products.waste","tot.no.ind","LabCode","C14Age","C14SD","Median","Interval","culture","cul_descr","Lipari","Palmarola","Sardegna","site_key","sites_ranked_all","Cluster_raw","Rank","Production_score"
"Piana di Curinga",16.29868,38.83539,54,41,120,3,51,215,"P-2946","6930","60",5813,"6100-5500","STN","Stentinello",1,0,0,"piana di curinga","Piana di Curinga",2,2,6.91061136454116
"Le Macchie (Ripagnola Polignano a mare)",17.2025,41.0131,89,10,16,0,0,26,"n/a","n/a","n/a",5810,"6100-5500","IMP_ARC","Impressa (Arcaica)",1,0,0,"le macchie (ripagnola polignano a mare)","Le Macchie (Ripagnola Polignano a mare)",1,1,0.520413667352728
"Susac Poje",16.517,42.767,76,1,0,0,0,1,"ETH-22912","6925","65",5810,"6100-5500","IMP_ARC","Impressa (Arcaica)",1,1,0,"susac poje","Susac Poje",1,1,0.0255950857435372
"Favella",16.437459,39.68409,20,2,7,0,0,9,"Combined","Combined","Combined",5798,"6100-5500","IMP_ARC","Impressa (Arcaica)",1,0,0,"favella","Favella",1,1,0.166892650825917
"Peiro Signado",3.32891,43.3083,52,6,6,0,4,16,"Combined","Combined","Combined",5798,"6100-5500","IMP_ACPS","Impressa (ACN1A)",0,1,1,"peiro signado","Peiro Signado",1,1,0.464608474959893
"Pont de Roque-Haute",3.36003,43.2927,55,4,1,0,1,6,"Combined","Combined","Combined",5782,"6100-5500","IMP_PRH","Impressa (PRH)",0,1,0,"pont de roque-haute","Pont de Roque-Haute",1,1,0.171875370288899
"Pulo di Molfetta Fondo Azzolini",16.575779,41.19449,63,5,3,0,0,8,"Combined","Combined","Combined",5697,"6100-5500","IMP_ARC","Impressa (Arcaica)",1,0,0,"pulo di molfetta fondo azzolini","Pulo di Molfetta Fondo Azzolini",1,1,0.17756220557719
"Terragne",17.6198,40.3705,109,0,2,0,0,2,"Beta-59933 / CAMS-7854","6870","70",5761,"6100-5500","IMP_LGN","Impressa (Lagnano)",1,0,0,"terragne","Terragne",1,1,0.0330578512396694
"Coppa Nevigata",15.55,41.38,17,1,0,0,0,1,"Combined","Combined","Combined",5759,"6100-5500","IMP_ARC","Impressa (Arcaica)",NA,NA,NA,"coppa nevigata","Coppa Nevigata",1,1,0.0255950857435372
"Grotta San Michele Arcangelo I",16.1575,39.7799,32,2,3,0,2,7,"Combined","Combined","Combined",5753,"6100-5500","STN","Stentinello",1,1,0,"grotta san michele arcangelo i","Grotta San Michele Arcangelo I",1,1,0.206709151736409
"Ripatetta",15.40402,41.43957,59,5,1,0,0,6,"Combined","Combined","Combined",5751,"6100-5500","IMP_GDN","Impressa (Guadone)",1,1,0,"ripatetta","Ripatetta",1,1,0.144504354337521
"Torre Sabea",18.00634,40.07301,70,7,1,0,0,8,"Combined","Combined","Combined",5736,"6100-5500","IMP_ARC","Impressa (Arcaica)",1,0,0,"torre sabea","Torre Sabea",1,1,0.195694525824595
"Kargadur",13.95064,44.81915,37,14,8,1,8,31,"Combined","Combined","Combined",5716,"6100-5500","Mixing","Impresso_Cardial",1,0,0,"kargadur","Kargadur",1,1,1.30644828167262
"Rio Tana",13.7567,41.8558,116,28,11,0,0,39,"Combined","Combined","Combined",5716,"6100-5500","IMP_MAD","Impressa (Medio-adriatica)",1,1,0,"rio tana","Rio Tana",1,1,0.898480582637225
"Scamuso I",16.2626,40.571,102,2,14,0,0,16,"Gif-7055","6810","80",5704,"6100-5500","IMP_GDN","Impressa (Guadone)",NA,NA,NA,"scamuso i","Scamuso I",1,1,0.28259513016476
"Arene Candide I",8.32828,44.1623,3,21,10,2,2,35,"Combined","Combined","Combined",5700,"6100-5500","IMP_ACPS","Impressa Cf.",0,1,1,"arene candide i","Arene Candide I",1,1,1.59303198569266
"Trasano",16.5336,40.6693,92,9,3,0,0,12,"Combined","Combined","Combined",5680,"6100-5500","IMP","Impressa (Arcaica, Guadone, Graffita)",NA,NA,NA,"trasano","Trasano",1,1,0.279942548551339
"Durdeva greda",15.504,44.526,18,1,0,0,0,1,"Beta-293836","6710","50",5630,"6100-5500","NEO","Impressa / Danilo transition",NA,NA,NA,"durdeva greda","Durdeva greda",1,1,0.0255950857435372
"Masseria Montevergine - Torre de Rubeis",18.4798,40.1536,112,4,0,0,0,4,"n/a","6622","45",5623,"6100-5500","BFW","Quercia / Passo di Corvo",NA,NA,NA,"masseria montevergine - torre de rubeis","Masseria Montevergine - Torre de Rubeis",1,1,0.102380342974149
"Grotta Pollera",8.314602,44.20055,28,8,0,0,0,8,"Combined","Combined","Combined",5522,"6100-5500","IMP_ACPS","Impressa Cf.",0,1,1,"grotta pollera","Grotta Pollera",1,1,0.204760685948298
"Grotta dei Cocci",12.5106,42.5157,26,5,0,0,0,5,"Combined","Combined","Combined",5585,"6100-5500","Mixing","Impresso_Cardial",NA,NA,NA,"grotta dei cocci","Grotta dei Cocci",1,1,0.127975428717686
"Masseria Candelaro II",15.750553,41.61289,46,26,16,0,2,44,"Combined","Combined","Combined",5560,"6100-5500","BFW","Quercia / Passo di Corvo",1,1,0,"masseria candelaro ii","Masseria Candelaro II",1,1,1.03586724263915
"Le Secche",10.882183,42.38172,42,65,20,4,61,150,"Combined","Combined","Combined",5555,"6100-5500","Mixing","Impresso_Cardial",1,1,1,"le secche","Le Secche",2,2,5.65649827053997
"Basi I",8.79853,41.72871,8,6,3,1,16,26,"n/a","n/a","n/a",5547,"6100-5500","CRD_BFP","Cardial_BFP",0,0,1,"basi i","Basi I",1,1,1.44277178118447
"Trasanello I",16.672482,40.67402,71,6,4,0,0,10,"Combined","Combined","Combined",5539,"6100-5500","IMP_ARC","Impressa (Arcaica)",NA,NA,NA,"trasanello i","Trasanello I",1,1,0.219686216940562
"Palata 1",16.0657,41.2239,111,1,0,0,0,1,"LTL-5187A","6576","45",5529,"6100-5500","IMP_GRF","Impressa (Graffita)",1,0,0,"palata 1","Palata 1",1,1,0.0255950857435372
"Maddalena di Muccia",13.05987,43.07352,43,8,0,0,0,8,"Combined","Combined","Combined",5518,"6100-5500","IMP_MAD","Impressa (Medio-adriatica)",1,1,0,"maddalena di muccia","Maddalena di Muccia",1,1,0.237818537187967
"Villaggio Ortucchio",13.6123,41.9441,86,1,0,0,0,1,"Combined","Combined","Combined",5513.30500295019,"6100-5500","IMP_MAD","Medio-adriatica",NA,NA,NA,"villaggio ortucchio","Villaggio Ortucchio",1,1,0.0255950857435372
"Colle Santo Stefano",13.66639,41.95389,16,745,208,13,94,1060,"Combined","Combined","Combined",5676,"6100-5500","IMP_MAD","Medio-adriatica",1,1,0,"colle santo stefano","Colle Santo Stefano",3,3,32.5832081828692
"Grotta Sant'Angelo I",13.626537,42.75455,34,6,0,1,0,7,"n/a","n/a","n/a",5500,"6100-5500","IMP_MAD","Medio-adriatica",1,0,0,"grotta sant'angelo i","Grotta Sant'Angelo I",1,1,0.545727377206321
"Barice Smilcic",15.418,44.1172,108,0,1,0,0,1,"Combined","Combined","Combined",5485,"6100-5500","Mixing","Impresso_Cardial",NA,NA,NA,"barice smilcic","Barice Smilcic",1,1,0.0165289256198347
"Renaghju",8.921266,41.526647,118,52,555,0,46,653,"Combined","Combined","Combined",5572,"6100-5500","CRD_SAP","Cardial (SAP)",0,1,1,"renaghju","Renaghju",2,2,12.9409388556383
