"from","to","distance_rule_km"
"Piana di Curinga","Favella",250
"Piana di Curinga","Terragne",250
"Piana di Curinga","Grotta San Michele Arcangelo I",250
"Piana di Curinga","Torre Sabea",250
"Piana di Curinga","Scamuso I",250
"Piana di Curinga","Trasano",250
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",250
"Piana di Curinga","Trasanello I",250
"Piana di Curinga","Balsignano I",250
"Le Secche","Rio Tana",250
"Le Secche","Grotta dei Cocci",250
"Le Secche","Basi I",250
"Le Secche","Maddalena di Muccia",250
"Le Secche","Villaggio Ortucchio",250
"Le Secche","Grotta Sant'Angelo I",250
"Colle Santo Stefano","Le Secche",250
"Renaghju","Le Secche",250
"Monte Arci","Renaghju",250
"Palmarola","Colle Santo Stefano",250
