"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",450
"Piana di Curinga","Susac Poje",450
"Piana di Curinga","Favella",450
"Piana di Curinga","Terragne",450
"Piana di Curinga","Coppa Nevigata",450
"Piana di Curinga","Grotta San Michele Arcangelo I",450
"Piana di Curinga","Ripatetta",450
"Piana di Curinga","Torre Sabea",450
"Piana di Curinga","Rio Tana",450
"Piana di Curinga","Scamuso I",450
"Piana di Curinga","Trasano",450
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",450
"Piana di Curinga","Masseria Candelaro II",450
"Piana di Curinga","Trasanello I",450
"Piana di Curinga","Palata 1",450
"Piana di Curinga","Villaggio Ortucchio",450
"Piana di Curinga","Balsignano I",450
"Le Secche","Coppa Nevigata",450
"Le Secche","Ripatetta",450
"Le Secche","Kargadur",450
"Le Secche","Rio Tana",450
"Le Secche","Arene Candide I",450
"Le Secche","Durdeva greda",450
"Le Secche","Grotta Pollera",450
"Le Secche","Grotta dei Cocci",450
"Le Secche","Masseria Candelaro II",450
"Le Secche","Basi I",450
"Le Secche","Maddalena di Muccia",450
"Le Secche","Villaggio Ortucchio",450
"Le Secche","Grotta Sant'Angelo I",450
"Le Secche","Barice Smilcic",450
"Colle Santo Stefano","Piana di Curinga",450
"Colle Santo Stefano","Le Secche",450
"Renaghju","Le Secche",450
"Monte Arci","Renaghju",450
"Lipari","Colle Santo Stefano",450
"Palmarola","Colle Santo Stefano",450
"Palmarola","Renaghju",450
