"Metric","Friedman_chi_squared","Df","P_value","P_adjusted_BH"
"Edges",23.531914893617,2,7.76443049350606e-06,3.10577219740243e-05
"Components",15,2,0.000553084370147834,0.000692043274452747
"Isolates",15,2,0.000553084370147834,0.000692043274452747
"Largest_Component_Size",14.551724137931,2,0.000692043274452747,0.000692043274452747
