"Metric","Rule_1","Rule_2","Adjusted_P_value"
"Edges","Rule_B","Rule_A",0.00363349679403022
"Edges","Rule_C","Rule_A",0.000732421875
"Edges","Rule_C","Rule_B",0.000732421875
"Components","Rule_B","Rule_A",0.0196561572501699
"Components","Rule_C","Rule_A",0.00873753629919229
"Components","Rule_C","Rule_B",0.00873753629919229
"Isolates","Rule_B","Rule_A",0.0196561572501699
"Isolates","Rule_C","Rule_A",0.00868956814282031
"Isolates","Rule_C","Rule_B",0.00868956814282031
"Largest_Component_Size","Rule_B","Rule_A",0.148914673178766
"Largest_Component_Size","Rule_C","Rule_A",0.00864174422402639
"Largest_Component_Size","Rule_C","Rule_B",0.00864174422402639
