"sites","Network","Rank","Degree","Betweenness","Closeness","Harmonic","Eigenvector","Rule_set","Distance_km","Allowed_connections"
"Coppa Nevigata","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo I","Rule_A_200km",1,1,0,0.6,0.0588235294117647,4.1092662647251e-17,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Ripatetta","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Torre Sabea","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Kargadur","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Rio Tana","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Scamuso I","Rule_A_200km",1,1,0,0.6,0.0588235294117647,6.16389939708765e-17,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Arene Candide I","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Trasano","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Durdeva greda","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Masseria Montevergine - Torre de Rubeis","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta Pollera","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Cocci","Rule_A_200km",1,2,0.0213903743315508,0.521739130434783,0.200980392156863,0.421726364043506,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro II","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Le Secche","Rule_A_200km",2,3,0.036541889483066,0.428571428571429,0.186274509803922,0.307721975766105,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Basi I","Rule_A_200km",1,2,0.0196078431372549,0.324324324324324,0.149509803921569,0.11075555587502,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Trasanello I","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Palata 1","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Maddalena di Muccia","Rule_A_200km",1,2,0.0213903743315508,0.521739130434783,0.200980392156863,0.421726364043506,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Villaggio Ortucchio","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Colle Santo Stefano","Rule_A_200km",3,9,0.100713012477718,0.666666666666667,0.29656862745098,1,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo I","Rule_A_200km",1,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Barice Smilcic","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Renaghju","Rule_A_200km",2,1,0,0.25,0.112254901960784,0.0357174833354209,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Monte Arci","Rule_A_200km",4,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Lipari","Rule_A_200km",4,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Palmarola","Rule_A_200km",4,1,0,0.413793103448276,0.170098039215686,0.322489314899251,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Piana di Curinga","Rule_A_250km",2,8,0.0499108734402852,1,0.235294117647059,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Le Macchie (Ripagnola Polignano a mare)","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Susac Poje","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Favella","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Peiro Signado","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Pont de Roque-Haute","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Pulo di Molfetta Fondo Azzolini","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Terragne","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Coppa Nevigata","Rule_A_250km",1,1,0,0.464285714285714,0.193627450980392,0.239646719199617,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo I","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Ripatetta","Rule_A_250km",1,1,0,0.464285714285714,0.193627450980392,0.239646719199617,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Torre Sabea","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Kargadur","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Rio Tana","Rule_A_250km",1,2,0,0.52,0.215686274509804,0.433299705189633,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Scamuso I","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Arene Candide I","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Trasano","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Durdeva greda","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Masseria Montevergine - Torre de Rubeis","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Grotta Pollera","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Cocci","Rule_A_250km",1,2,0,0.52,0.215686274509804,0.433299705189633,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro II","Rule_A_250km",1,1,0,0.464285714285714,0.193627450980392,0.239646719199617,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Le Secche","Rule_A_250km",2,7,0.0481283422459893,0.684210526315789,0.294117647058824,0.808076933566151,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Basi I","Rule_A_250km",1,2,0.0213903743315508,0.448275862068966,0.196078431372549,0.205452219987365,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Trasanello I","Rule_A_250km",1,1,0,0.533333333333333,0.132352941176471,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Palata 1","Rule_A_250km",1,1,0,0.464285714285714,0.193627450980392,0.239646719199617,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Maddalena di Muccia","Rule_A_250km",1,2,0,0.52,0.215686274509804,0.433299705189633,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Villaggio Ortucchio","Rule_A_250km",1,2,0,0.52,0.215686274509804,0.433299705189633,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Colle Santo Stefano","Rule_A_250km",3,11,0.0980392156862745,0.8125,0.348039215686275,1,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo I","Rule_A_250km",1,2,0,0.52,0.215686274509804,0.433299705189633,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Barice Smilcic","Rule_A_250km",1,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Renaghju","Rule_A_250km",2,1,0,0.317073170731707,0.139705882352941,0.04923595047225,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Monte Arci","Rule_A_250km",4,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Lipari","Rule_A_250km",4,0,0,NA,0,0,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Palmarola","Rule_A_250km",4,1,0,0.464285714285714,0.193627450980392,0.239646719199617,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Piana di Curinga","Rule_A_300km",2,13,0.280748663101604,0.451612903225806,0.523039215686275,0.552838833121947,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Le Macchie (Ripagnola Polignano a mare)","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Susac Poje","Rule_A_300km",1,1,0,0.383561643835616,0.355392156862745,0.197403770269884,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Favella","Rule_A_300km",1,1,0,0.314606741573034,0.311764705882353,0.109132470009876,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Peiro Signado","Rule_A_300km",1,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Pont de Roque-Haute","Rule_A_300km",1,0,0,NA,0,1.89379743148068e-19,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
