"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",600
"Piana di Curinga","Susac Poje",600
"Piana di Curinga","Favella",600
"Piana di Curinga","Terragne",600
"Piana di Curinga","Coppa Nevigata",600
"Piana di Curinga","Grotta San Michele Arcangelo I",600
"Piana di Curinga","Ripatetta",600
"Piana di Curinga","Torre Sabea",600
"Piana di Curinga","Rio Tana",600
"Piana di Curinga","Scamuso I",600
"Piana di Curinga","Trasano",600
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",600
"Piana di Curinga","Grotta dei Cocci",600
"Piana di Curinga","Masseria Candelaro II",600
"Piana di Curinga","Trasanello I",600
"Piana di Curinga","Palata 1",600
"Piana di Curinga","Maddalena di Muccia",600
"Piana di Curinga","Villaggio Ortucchio",600
"Piana di Curinga","Grotta Sant'Angelo I",600
"Piana di Curinga","Barice Smilcic",600
"Piana di Curinga","Balsignano I",600
"Le Secche","Le Macchie (Ripagnola Polignano a mare)",600
"Le Secche","Susac Poje",600
"Le Secche","Favella",600
"Le Secche","Coppa Nevigata",600
"Le Secche","Grotta San Michele Arcangelo I",600
"Le Secche","Ripatetta",600
"Le Secche","Kargadur",600
"Le Secche","Rio Tana",600
"Le Secche","Scamuso I",600
"Le Secche","Arene Candide I",600
"Le Secche","Trasano",600
"Le Secche","Durdeva greda",600
"Le Secche","Grotta Pollera",600
"Le Secche","Grotta dei Cocci",600
"Le Secche","Masseria Candelaro II",600
"Le Secche","Basi I",600
"Le Secche","Trasanello I",600
"Le Secche","Palata 1",600
"Le Secche","Maddalena di Muccia",600
"Le Secche","Villaggio Ortucchio",600
"Le Secche","Grotta Sant'Angelo I",600
"Le Secche","Barice Smilcic",600
"Le Secche","Balsignano I",600
"Le Secche","La Farigoule 2",600
"Colle Santo Stefano","Piana di Curinga",600
"Colle Santo Stefano","Le Secche",600
"Renaghju","Le Secche",600
"Monte Arci","Colle Santo Stefano",600
"Monte Arci","Renaghju",600
"Lipari","Colle Santo Stefano",600
"Palmarola","Colle Santo Stefano",600
"Palmarola","Renaghju",600
