"from","to","distance_rule_km"
"Piana di Curinga","Le Macchie (Ripagnola Polignano a mare)",400
"Piana di Curinga","Favella",400
"Piana di Curinga","Terragne",400
"Piana di Curinga","Coppa Nevigata",400
"Piana di Curinga","Grotta San Michele Arcangelo I",400
"Piana di Curinga","Ripatetta",400
"Piana di Curinga","Torre Sabea",400
"Piana di Curinga","Rio Tana",400
"Piana di Curinga","Scamuso I",400
"Piana di Curinga","Trasano",400
"Piana di Curinga","Masseria Montevergine - Torre de Rubeis",400
"Piana di Curinga","Masseria Candelaro II",400
"Piana di Curinga","Trasanello I",400
"Piana di Curinga","Palata 1",400
"Piana di Curinga","Balsignano I",400
"Le Secche","Ripatetta",400
"Le Secche","Kargadur",400
"Le Secche","Rio Tana",400
"Le Secche","Arene Candide I",400
"Le Secche","Grotta Pollera",400
"Le Secche","Grotta dei Cocci",400
"Le Secche","Basi I",400
"Le Secche","Maddalena di Muccia",400
"Le Secche","Villaggio Ortucchio",400
"Le Secche","Grotta Sant'Angelo I",400
"Colle Santo Stefano","Le Secche",400
"Renaghju","Le Secche",400
"Monte Arci","Renaghju",400
"Palmarola","Colle Santo Stefano",400
"Palmarola","Renaghju",400
