"from","to","distance_rule_km"
"Sant'Anna di Oria","La Lucciola",650
"Sant'Anna di Oria","Masseria Acquasalsa",650
"Sant'Anna di Oria","Grotta Continenza",650
"Sant'Anna di Oria","Portonovo",650
"Sant'Anna di Oria","Masseria Candelaro III",650
"Sant'Anna di Oria","Grotta Scaloria",650
"Sant'Anna di Oria","Marcianese",650
"Sant'Anna di Oria","Trasanello II",650
"Sant'Anna di Oria","Fornace Cappuccini",650
"Sant'Anna di Oria","Krivače",650
"Sant'Anna di Oria","Piani di Calisti",650
"Sant'Anna di Oria","Grotta dei Piccioni",650
"Sant'Anna di Oria","Pienza",650
"Sant'Anna di Oria","Grotta Sant'Angelo II",650
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",650
"Sant'Anna di Oria","Pokrovnik",650
"Sant'Anna di Oria","Danilo-Bitinj",650
"Sant'Anna di Oria","Colle Cera",650
"Sant'Anna di Oria","Balsignano II",650
"Sant'Anna di Oria","Spila Nakovana",650
"Sant'Anna di Oria","Ex Palestra GIL",650
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",650
"Sant'Anna di Oria","Masseria Santa Tecchia",650
"Sant'Anna di Oria","Lokvica",650
"Sant'Anna di Oria","Rocchicella-Paliké",650
"La Scola","Abri Albertini",650
"La Scola","La Lucciola",650
"La Scola","Masseria Acquasalsa",650
"La Scola","Grotta Continenza",650
"La Scola","Portonovo",650
"La Scola","Masseria Candelaro III",650
"La Scola","Grotta Scaloria",650
"La Scola","Marcianese",650
"La Scola","Savignano sul Panaro",650
"La Scola","Su Carroppu",650
"La Scola","Trasanello II",650
"La Scola","Krivače",650
"La Scola","Piani di Calisti",650
"La Scola","Grotta dei Piccioni",650
"La Scola","Pienza",650
"La Scola","Casa Querciolaia",650
"La Scola","Grotta Sant'Angelo II",650
"La Scola","Villa Badessa (Cepegatti)",650
"La Scola","Pokrovnik",650
"La Scola","Danilo-Bitinj",650
"La Scola","Colle Cera",650
"La Scola","Balsignano II",650
"La Scola","Spila Nakovana",650
"La Scola","Ex Palestra GIL",650
"La Scola","Grande Rivoire",650
"La Scola","Arene Candide II",650
"La Scola","Fiorano Modenese",650
"La Scola","Masseria Santa Tecchia",650
"La Scola","Lokvica",650
"La Marmotta","Abri Albertini",650
