"Metric","Friedman_chi_squared","Df","P_value","P_adjusted_BH"
"Edges",23.1304347826087,2,9.49051773194353e-06,3.79620709277741e-05
"Components",11.4736842105263,2,0.00322493622132542,0.00322493622132542
"Isolates",12,2,0.00247875217666636,0.00322493622132542
"Largest_Component_Size",11.4736842105263,2,0.00322493622132542,0.00322493622132542
