"from","to","distance_rule_km"
"Sant'Anna di Oria","Trasanello II",150
"Sant'Anna di Oria","Balsignano ",150
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",150
"La Scola","Abri Albertini",150
"La Scola","Pienza",150
"La Scola","Casa Querciolaia",150
"La Marmotta","La Lucciola",150
"La Marmotta","Grotta Continenza",150
"La Marmotta","Pian di Calisti",150
"La Marmotta","Grotta dei Piccioni",150
"La Marmotta","Pienza",150
"La Marmotta","Grotta Sant'Angelo II",150
"La Marmotta","Colle Cera",150
"Umbro Bova Marina","Rocchicella-Paliké",150
"Strette","Abri Albertini",150
"Strette","Casa Querciolaia",150
"Fornace Cappuccini","La Lucciola",150
"Fornace Cappuccini","Savignano sul Panaro",150
"Fornace Cappuccini","Pian di Calisti",150
"Fornace Cappuccini","Pienza",150
"Fornace Cappuccini","Casa Querciolaia",150
"Fornace Cappuccini","Fiorano Modenese",150
"Rio Saboccu","Su Carroppu",150
"Catignano","Masseria Acquasalsa",150
"Catignano","Grotta Continenza",150
"Catignano","Portonovo",150
"Catignano","Marcianese",150
"Catignano","Pian di Calisti",150
"Catignano","Grotta dei Piccioni",150
"Catignano","Grotta Sant'Angelo II",150
"Catignano","Villa Badessa (Cepegatti)",150
"Catignano","Colle Cera",150
"Cala Giovanna","Abri Albertini",150
"Cala Giovanna","Pienza",150
"Cala Giovanna","Casa Querciolaia",150
"Sa Punta","Su Carroppu",150
"Cuccuru is Arrius","Su Carroppu",150
"Monte Arci","Rio Saboccu",150
"Monte Arci","Sa Punta",150
"Monte Arci","Cuccuru is Arrius",150
"Lipari","Umbro Bova Marina",150
"Palmarola","La Marmotta",150
