"Network","Nodes","Edges","Components","Isolates","Largest_Component_Size","Connected_All_Sites","Rule_set","Distance_km","Allowed_connections"
"Rule_A_100km",44,17,28,23,7,FALSE,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Rule_A_150km",44,41,15,11,22,FALSE,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Rule_A_200km",44,63,9,6,31,FALSE,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Rule_A_250km",44,88,5,3,37,FALSE,"Rule_A",250,"4-3, 3-2, 3-1, 2-1"
"Rule_A_300km",44,115,2,1,43,FALSE,"Rule_A",300,"4-3, 3-2, 3-1, 2-1"
"Rule_A_350km",44,149,2,1,43,FALSE,"Rule_A",350,"4-3, 3-2, 3-1, 2-1"
"Rule_A_400km",44,184,2,1,43,FALSE,"Rule_A",400,"4-3, 3-2, 3-1, 2-1"
"Rule_A_450km",44,207,1,0,44,TRUE,"Rule_A",450,"4-3, 3-2, 3-1, 2-1"
"Rule_A_500km",44,243,1,0,44,TRUE,"Rule_A",500,"4-3, 3-2, 3-1, 2-1"
"Rule_A_550km",44,264,1,0,44,TRUE,"Rule_A",550,"4-3, 3-2, 3-1, 2-1"
"Rule_A_600km",44,298,1,0,44,TRUE,"Rule_A",600,"4-3, 3-2, 3-1, 2-1"
"Rule_A_650km",44,317,1,0,44,TRUE,"Rule_A",650,"4-3, 3-2, 3-1, 2-1"
"Rule_B_100km",44,17,28,23,7,FALSE,"Rule_B",100,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_150km",44,41,15,11,22,FALSE,"Rule_B",150,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_200km",44,64,8,6,34,FALSE,"Rule_B",200,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_250km",44,89,5,3,37,FALSE,"Rule_B",250,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_300km",44,118,2,1,43,FALSE,"Rule_B",300,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_350km",44,157,2,1,43,FALSE,"Rule_B",350,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_400km",44,193,2,1,43,FALSE,"Rule_B",400,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_450km",44,216,1,0,44,TRUE,"Rule_B",450,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_500km",44,252,1,0,44,TRUE,"Rule_B",500,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_550km",44,273,1,0,44,TRUE,"Rule_B",550,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_600km",44,308,1,0,44,TRUE,"Rule_B",600,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_B_650km",44,330,1,0,44,TRUE,"Rule_B",650,"4-3, 4-2, 3-2, 3-1, 2-1"
"Rule_C_100km",44,7,37,34,4,FALSE,"Rule_C",100,"4-3, 3-2, 2-1"
"Rule_C_150km",44,20,28,23,11,FALSE,"Rule_C",150,"4-3, 3-2, 2-1"
"Rule_C_200km",44,31,21,17,16,FALSE,"Rule_C",200,"4-3, 3-2, 2-1"
"Rule_C_250km",44,49,16,13,17,FALSE,"Rule_C",250,"4-3, 3-2, 2-1"
"Rule_C_300km",44,61,11,8,21,FALSE,"Rule_C",300,"4-3, 3-2, 2-1"
"Rule_C_350km",44,90,5,4,40,FALSE,"Rule_C",350,"4-3, 3-2, 2-1"
"Rule_C_400km",44,107,2,1,43,FALSE,"Rule_C",400,"4-3, 3-2, 2-1"
"Rule_C_450km",44,122,1,0,44,TRUE,"Rule_C",450,"4-3, 3-2, 2-1"
"Rule_C_500km",44,143,1,0,44,TRUE,"Rule_C",500,"4-3, 3-2, 2-1"
"Rule_C_550km",44,154,1,0,44,TRUE,"Rule_C",550,"4-3, 3-2, 2-1"
"Rule_C_600km",44,170,1,0,44,TRUE,"Rule_C",600,"4-3, 3-2, 2-1"
"Rule_C_650km",44,177,1,0,44,TRUE,"Rule_C",650,"4-3, 3-2, 2-1"
