"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Acquasalsa",400
"Sant'Anna di Oria","Grotta Continenza",400
"Sant'Anna di Oria","Masseria Candelaro III",400
"Sant'Anna di Oria","Grotta Scaloria",400
"Sant'Anna di Oria","Marcianese",400
"Sant'Anna di Oria","Trasanello II",400
"Sant'Anna di Oria","Krivače",400
"Sant'Anna di Oria","Grotta dei Piccioni",400
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",400
"Sant'Anna di Oria","Pokrovnik",400
"Sant'Anna di Oria","Danilo-Bitinj",400
"Sant'Anna di Oria","Colle Cera",400
"Sant'Anna di Oria","Balsignano ",400
"Sant'Anna di Oria","Spila Nakovana",400
"Sant'Anna di Oria","Ex Palestra GIL",400
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",400
"Sant'Anna di Oria","Masseria Santa Tecchia",400
"Sant'Anna di Oria","Lokvica",400
"La Scola","Abri Albertini",400
"La Scola","La Lucciola",400
"La Scola","Grotta Continenza",400
"La Scola","Portonovo",400
"La Scola","Marcianese",400
"La Scola","Savignano sul Panaro",400
"La Scola","Su Carroppu",400
"La Scola","Pian di Calisti",400
"La Scola","Grotta dei Piccioni",400
"La Scola","Pienza",400
"La Scola","Casa Querciolaia",400
"La Scola","Grotta Sant'Angelo II",400
"La Scola","Villa Badessa (Cepegatti)",400
"La Scola","Colle Cera",400
"La Scola","Arene Candide II",400
"La Scola","Fiorano Modenese",400
"La Marmotta","Abri Albertini",400
"La Marmotta","La Lucciola",400
"La Marmotta","La Scola",400
"La Marmotta","Masseria Acquasalsa",400
"La Marmotta","Grotta Continenza",400
"La Marmotta","Portonovo",400
"La Marmotta","Masseria Candelaro III",400
"La Marmotta","Grotta Scaloria",400
"La Marmotta","Strette",400
"La Marmotta","Marcianese",400
"La Marmotta","Savignano sul Panaro",400
"La Marmotta","Fornace Cappuccini",400
"La Marmotta","Krivače",400
"La Marmotta","Pian di Calisti",400
"La Marmotta","Grotta dei Piccioni",400
"La Marmotta","Pienza",400
"La Marmotta","Casa Querciolaia",400
"La Marmotta","Grotta Sant'Angelo II",400
"La Marmotta","Villa Badessa (Cepegatti)",400
"La Marmotta","Pokrovnik",400
"La Marmotta","Danilo-Bitinj",400
"La Marmotta","Colle Cera",400
"La Marmotta","Balsignano ",400
"La Marmotta","Ex Palestra GIL",400
"La Marmotta","Cala Giovanna",400
"La Marmotta","Arene Candide II",400
"La Marmotta","Fiorano Modenese",400
"La Marmotta","Masseria Santa Tecchia",400
"La Marmotta","Lokvica",400
"Umbro Bova Marina","Masseria Acquasalsa",400
"Umbro Bova Marina","Trasanello II",400
"Umbro Bova Marina","Balsignano ",400
"Umbro Bova Marina","Ex Palestra GIL",400
"Umbro Bova Marina","Grotta San Michele Arcangelo II",400
"Umbro Bova Marina","Masseria Santa Tecchia",400
"Umbro Bova Marina","Rocchicella-Paliké",400
"Strette","Abri Albertini",400
"Strette","La Lucciola",400
"Strette","Grotta Continenza",400
"Strette","Portonovo",400
