"from","to","distance_rule_km"
"Catignano","Pienza",500
"Catignano","Casa Querciolaia",500
"Catignano","Grotta Sant'Angelo II",500
"Catignano","Villa Badessa (Cepegatti)",500
"Catignano","Pokrovnik",500
"Catignano","Danilo-Bitinj",500
"Catignano","Colle Cera",500
"Catignano","Balsignano ",500
"Catignano","Spila Nakovana",500
"Catignano","Ex Palestra GIL",500
"Catignano","Cala Giovanna",500
"Catignano","Arene Candide II",500
"Catignano","Grotta San Michele Arcangelo II",500
"Catignano","Fiorano Modenese",500
"Catignano","Masseria Santa Tecchia",500
"Catignano","Lokvica",500
"Cala Giovanna","Abri Albertini",500
"Cala Giovanna","La Lucciola",500
"Cala Giovanna","Masseria Acquasalsa",500
"Cala Giovanna","Grotta Continenza",500
"Cala Giovanna","Portonovo",500
"Cala Giovanna","Masseria Candelaro III",500
"Cala Giovanna","Grotta Scaloria",500
"Cala Giovanna","Marcianese",500
"Cala Giovanna","Savignano sul Panaro",500
"Cala Giovanna","Su Carroppu",500
"Cala Giovanna","Krivače",500
"Cala Giovanna","Pian di Calisti",500
"Cala Giovanna","Grotta dei Piccioni",500
"Cala Giovanna","Pienza",500
"Cala Giovanna","Casa Querciolaia",500
"Cala Giovanna","Grotta Sant'Angelo II",500
"Cala Giovanna","Villa Badessa (Cepegatti)",500
"Cala Giovanna","Danilo-Bitinj",500
"Cala Giovanna","Colle Cera",500
"Cala Giovanna","Ex Palestra GIL",500
"Cala Giovanna","Grande Rivoire",500
"Cala Giovanna","Arene Candide II",500
"Cala Giovanna","Fiorano Modenese",500
"Cala Giovanna","Masseria Santa Tecchia",500
"Sa Punta","Abri Albertini",500
"Sa Punta","La Lucciola",500
"Sa Punta","La Scola",500
"Sa Punta","Grotta Continenza",500
"Sa Punta","Strette",500
"Sa Punta","Su Carroppu",500
"Sa Punta","Pienza",500
"Sa Punta","Casa Querciolaia",500
"Sa Punta","Cala Giovanna",500
"Sa Punta","Arene Candide II",500
"Cuccuru is Arrius","Abri Albertini",500
"Cuccuru is Arrius","La Lucciola",500
"Cuccuru is Arrius","La Scola",500
"Cuccuru is Arrius","Grotta Continenza",500
"Cuccuru is Arrius","Strette",500
"Cuccuru is Arrius","Su Carroppu",500
"Cuccuru is Arrius","Pienza",500
"Cuccuru is Arrius","Casa Querciolaia",500
"Cuccuru is Arrius","Cala Giovanna",500
"Cuccuru is Arrius","Arene Candide II",500
"Monte Arci","La Scola",500
"Monte Arci","La Marmotta",500
"Monte Arci","Strette",500
"Monte Arci","Rio Saboccu",500
"Monte Arci","Cala Giovanna",500
"Monte Arci","Sa Punta",500
"Monte Arci","Cuccuru is Arrius",500
"Lipari","Sant'Anna di Oria",500
"Lipari","La Marmotta",500
"Lipari","Umbro Bova Marina",500
"Lipari","Catignano",500
"Palmarola","Sant'Anna di Oria",500
"Palmarola","La Scola",500
"Palmarola","La Marmotta",500
"Palmarola","Umbro Bova Marina",500
"Palmarola","Strette",500
"Palmarola","Fornace Cappuccini",500
"Palmarola","Rio Saboccu",500
"Palmarola","Catignano",500
"Palmarola","Cala Giovanna",500
"Palmarola","Sa Punta",500
"Palmarola","Cuccuru is Arrius",500
