"name","Long","Lat","Rank","Sardegna","Lipari","Palmarola"
"La Lucciola",12.08612,43.06918,1,1,1,1
"Sant'Anna di Oria",17.616931,40.49882,3,0,1,1
"La Scola",10.0833,42.58,2,1,1,1
"La Marmotta",12.2745,42.1044,3,0,1,1
"Umbro Bova Marina",15.9178,37.9392,3,0,1,0
"Portonovo",13.57343,43.56373,1,0,1,1
"Masseria Candelaro III",15.750553,41.61289,1,0,1,1
"Fornace Cappuccini",11.872712,44.28343,2,0,1,1
"Krivače",15.84,43.86,1,0,1,0
"Pokrovnik",16.146,43.833,1,0,1,0
"Catignano",13.943843,42.34267,3,0,1,1
"Danilo-Bitinj",15.99,43.7,1,0,1,0
"Colle Cera",13.987246,42.43035,1,0,1,1
"Balsignano ",16.7215,41.0696,1,0,1,1
"Spila Nakovana",17.08355,43.00369,1,0,1,0
"Cala Giovanna",10.0938,42.58964,2,1,1,1
"Grotta San Michele Arcangelo II",16.1575,39.7799,1,0,1,1
"Masseria Santa Tecchia",15.7853,41.5263,1,0,1,0
"Lokvica",16.875664,42.945019,1,0,1,0
"Rocchicella-Paliké",14.700283,37.332642,1,0,1,0
"Lipari",14.95544,38.46728,4,NA,1,NA
