"from","to","distance_rule_km"
"La Scola","Abri Albertini",150
"La Scola","Pienza",150
"La Scola","Casa Querciolaia",150
"Strette","Abri Albertini",150
"Strette","Casa Querciolaia",150
"Fornace Cappuccini","La Lucciola",150
"Fornace Cappuccini","Savignano sul Panaro",150
"Fornace Cappuccini","Pian di Calisti",150
"Fornace Cappuccini","Pienza",150
"Fornace Cappuccini","Casa Querciolaia",150
"Fornace Cappuccini","Fiorano Modenese",150
"Cala Giovanna","Abri Albertini",150
"Cala Giovanna","Pienza",150
"Cala Giovanna","Casa Querciolaia",150
"Monte Arci","Rio Saboccu",150
"Monte Arci","Sa Punta",150
"Monte Arci","Cuccuru is Arrius",150
"Lipari","Umbro Bova Marina",150
"Palmarola","La Marmotta",150
