"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Acquasalsa",450
"Sant'Anna di Oria","Grotta Continenza",450
"Sant'Anna di Oria","Masseria Candelaro III",450
"Sant'Anna di Oria","Grotta Scaloria",450
"Sant'Anna di Oria","Marcianese",450
"Sant'Anna di Oria","Trasanello II",450
"Sant'Anna di Oria","Krivače",450
"Sant'Anna di Oria","Grotta dei Piccioni",450
"Sant'Anna di Oria","Grotta Sant'Angelo II",450
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",450
"Sant'Anna di Oria","Pokrovnik",450
"Sant'Anna di Oria","Danilo-Bitinj",450
"Sant'Anna di Oria","Colle Cera",450
"Sant'Anna di Oria","Balsignano ",450
"Sant'Anna di Oria","Spila Nakovana",450
"Sant'Anna di Oria","Ex Palestra GIL",450
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",450
"Sant'Anna di Oria","Masseria Santa Tecchia",450
"Sant'Anna di Oria","Lokvica",450
"Sant'Anna di Oria","Rocchicella-Paliké",450
"La Scola","Abri Albertini",450
"La Scola","La Lucciola",450
"La Scola","Grotta Continenza",450
"La Scola","Portonovo",450
"La Scola","Marcianese",450
"La Scola","Savignano sul Panaro",450
"La Scola","Su Carroppu",450
"La Scola","Pian di Calisti",450
"La Scola","Grotta dei Piccioni",450
"La Scola","Pienza",450
"La Scola","Casa Querciolaia",450
"La Scola","Grotta Sant'Angelo II",450
"La Scola","Villa Badessa (Cepegatti)",450
"La Scola","Colle Cera",450
"La Scola","Arene Candide II",450
"La Scola","Fiorano Modenese",450
"La Marmotta","Abri Albertini",450
"La Marmotta","La Lucciola",450
"La Marmotta","La Scola",450
"La Marmotta","Masseria Acquasalsa",450
"La Marmotta","Grotta Continenza",450
"La Marmotta","Portonovo",450
"La Marmotta","Masseria Candelaro III",450
"La Marmotta","Grotta Scaloria",450
"La Marmotta","Strette",450
"La Marmotta","Marcianese",450
"La Marmotta","Savignano sul Panaro",450
"La Marmotta","Su Carroppu",450
"La Marmotta","Trasanello II",450
"La Marmotta","Fornace Cappuccini",450
"La Marmotta","Krivače",450
"La Marmotta","Pian di Calisti",450
"La Marmotta","Grotta dei Piccioni",450
"La Marmotta","Pienza",450
"La Marmotta","Casa Querciolaia",450
"La Marmotta","Grotta Sant'Angelo II",450
"La Marmotta","Villa Badessa (Cepegatti)",450
"La Marmotta","Pokrovnik",450
"La Marmotta","Danilo-Bitinj",450
"La Marmotta","Colle Cera",450
"La Marmotta","Balsignano ",450
"La Marmotta","Spila Nakovana",450
"La Marmotta","Ex Palestra GIL",450
"La Marmotta","Cala Giovanna",450
"La Marmotta","Arene Candide II",450
"La Marmotta","Grotta San Michele Arcangelo II",450
"La Marmotta","Fiorano Modenese",450
"La Marmotta","Masseria Santa Tecchia",450
"La Marmotta","Lokvica",450
"Umbro Bova Marina","Masseria Acquasalsa",450
"Umbro Bova Marina","Masseria Candelaro III",450
"Umbro Bova Marina","Grotta Scaloria",450
"Umbro Bova Marina","Trasanello II",450
"Umbro Bova Marina","Balsignano ",450
"Umbro Bova Marina","Ex Palestra GIL",450
"Umbro Bova Marina","Grotta San Michele Arcangelo II",450
"Umbro Bova Marina","Masseria Santa Tecchia",450
"Umbro Bova Marina","Rocchicella-Paliké",450
"Strette","Abri Albertini",450
"Strette","La Lucciola",450
"Strette","Grotta Continenza",450
"Strette","Portonovo",450
"Strette","Marcianese",450
"Strette","Savignano sul Panaro",450
"Strette","Su Carroppu",450
"Strette","Pian di Calisti",450
"Strette","Grotta dei Piccioni",450
"Strette","Pienza",450
"Strette","Casa Querciolaia",450
"Strette","Grotta Sant'Angelo II",450
"Strette","Villa Badessa (Cepegatti)",450
"Strette","Colle Cera",450
"Strette","Grande Rivoire",450
"Strette","Arene Candide II",450
"Strette","Fiorano Modenese",450
"Fornace Cappuccini","Abri Albertini",450
"Fornace Cappuccini","La Lucciola",450
"Fornace Cappuccini","Masseria Acquasalsa",450
"Fornace Cappuccini","Grotta Continenza",450
"Fornace Cappuccini","Portonovo",450
"Fornace Cappuccini","Masseria Candelaro III",450
"Fornace Cappuccini","Grotta Scaloria",450
"Fornace Cappuccini","Marcianese",450
