"from","to","distance_rule_km"
"Sant'Anna di Oria","Trasanello II",100
"Sant'Anna di Oria","Balsignano ",100
"La Scola","Abri Albertini",100
"Strette","Abri Albertini",100
"Fornace Cappuccini","Savignano sul Panaro",100
"Fornace Cappuccini","Fiorano Modenese",100
"Rio Saboccu","Su Carroppu",100
"Catignano","Grotta Continenza",100
"Catignano","Marcianese",100
"Catignano","Grotta dei Piccioni",100
"Catignano","Grotta Sant'Angelo II",100
"Catignano","Villa Badessa (Cepegatti)",100
"Catignano","Colle Cera",100
"Cala Giovanna","Abri Albertini",100
"Sa Punta","Su Carroppu",100
"Cuccuru is Arrius","Su Carroppu",100
"Monte Arci","Rio Saboccu",100
"Monte Arci","Sa Punta",100
"Monte Arci","Cuccuru is Arrius",100
