"sites","Network","Rank","Degree","Betweenness","Closeness","Harmonic","Eigenvector","Rule_set","Distance_km","Allowed_connections"
"Abri Albertini","Rule_A_100km",1,3,0.00332225913621262,1,0.0697674418604651,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"La Lucciola","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Sant'Anna di Oria","Rule_A_100km",3,2,0.00110741971207087,1,0.0465116279069767,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"La Scola","Rule_A_100km",2,1,0,0.6,0.0465116279069767,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Masseria Acquasalsa","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"La Marmotta","Rule_A_100km",3,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Umbro Bova Marina","Rule_A_100km",3,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grotta Continenza","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Portonovo","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro III","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grotta Scaloria","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Strette","Rule_A_100km",2,1,0,0.6,0.0465116279069767,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Marcianese","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Savignano sul Panaro","Rule_A_100km",1,1,0,0.666666666666667,0.0348837209302326,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Su Carroppu","Rule_A_100km",1,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Trasanello II","Rule_A_100km",1,1,0,0.666666666666667,0.0348837209302326,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Fornace Cappuccini","Rule_A_100km",2,2,0.00110741971207087,1,0.0465116279069767,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Krivače","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Piani di Calisti","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Rio Saboccu","Rule_A_100km",3,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Piccioni","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Pienza","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Casa Querciolaia","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo II","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Villa Badessa (Cepegatti)","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Pokrovnik","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Catignano","Rule_A_100km",3,6,0.0166112956810631,1,0.13953488372093,1,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Danilo-Bitinj","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Colle Cera","Rule_A_100km",1,1,0,0.545454545454545,0.0813953488372093,0.408248290463863,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Balsignano II","Rule_A_100km",1,1,0,0.666666666666667,0.0348837209302326,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Spila Nakovana","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Ex Palestra GIL","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Cala Giovanna","Rule_A_100km",2,1,0,0.6,0.0465116279069767,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grande Rivoire","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Arene Candide II","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo II","Rule_A_100km",2,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Fiorano Modenese","Rule_A_100km",1,1,0,0.666666666666667,0.0348837209302326,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Sa Punta","Rule_A_100km",3,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Masseria Santa Tecchia","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Lokvica","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Rocchicella-Paliké","Rule_A_100km",1,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Monte Arci","Rule_A_100km",4,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Lipari","Rule_A_100km",4,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Palmarola","Rule_A_100km",4,0,0,NA,0,0,"Rule_A",100,"4-3, 3-2, 3-1, 2-1"
"Abri Albertini","Rule_A_150km",1,3,0.00365975847703422,0.269230769230769,0.181007751937985,0.171910869912039,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"La Lucciola","Rule_A_150km",1,2,0.00758846174128566,0.388888888888889,0.222868217054264,0.407227098435936,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Sant'Anna di Oria","Rule_A_150km",3,3,0.00221483942414175,1,0.0697674418604651,1.20832683771743e-16,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"La Scola","Rule_A_150km",2,3,0.0128407952328218,0.338709677419355,0.21046511627907,0.26863653272417,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Masseria Acquasalsa","Rule_A_150km",1,1,0,0.308823529411765,0.184496124031008,0.24244485206995,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"La Marmotta","Rule_A_150km",3,8,0.091968570373886,0.477272727272727,0.300387596899225,1,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Umbro Bova Marina","Rule_A_150km",3,2,0.00110741971207087,1,0.0465116279069767,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grotta Continenza","Rule_A_150km",1,2,0.00638084691240837,0.388888888888889,0.225581395348837,0.501100088178052,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Portonovo","Rule_A_150km",1,1,0,0.308823529411765,0.184496124031008,0.24244485206995,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro III","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grotta Scaloria","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Strette","Rule_A_150km",2,2,0.00171913726731003,0.276315789473684,0.173643410852713,0.127360183422722,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Marcianese","Rule_A_150km",1,1,0,0.308823529411765,0.184496124031008,0.24244485206995,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Savignano sul Panaro","Rule_A_150km",1,1,0,0.318181818181818,0.178294573643411,0.148571862327834,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Su Carroppu","Rule_A_150km",1,2,0.000553709856035437,0.75,0.0581395348837209,6.04163418858713e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Trasanello II","Rule_A_150km",1,2,0,0.75,0.0581395348837209,9.06245128288069e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Fornace Cappuccini","Rule_A_150km",2,6,0.0797816801139061,0.456521739130435,0.275193798449613,0.57440113938285,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Krivače","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Piani di Calisti","Rule_A_150km",1,3,0.0531245056162,0.477272727272727,0.261627906976744,0.649671950505885,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Rio Saboccu","Rule_A_150km",3,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Piccioni","Rule_A_150km",1,2,0.00638084691240837,0.388888888888889,0.225581395348837,0.501100088178052,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Pienza","Rule_A_150km",1,4,0.0565258661604177,0.4375,0.25968992248062,0.546195590033999,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Casa Querciolaia","Rule_A_150km",1,4,0.0285503348626272,0.362068965517241,0.23062015503876,0.320482732239873,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo II","Rule_A_150km",1,2,0.00638084691240837,0.388888888888889,0.225581395348837,0.501100088178052,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Villa Badessa (Cepegatti)","Rule_A_150km",1,1,0,0.308823529411765,0.184496124031008,0.24244485206995,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Pokrovnik","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Catignano","Rule_A_150km",3,9,0.0921004060538944,0.4375,0.301162790697674,0.937328220058237,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Danilo-Bitinj","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Colle Cera","Rule_A_150km",1,2,0.00638084691240837,0.388888888888889,0.225581395348837,0.501100088178052,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Balsignano II","Rule_A_150km",1,1,0,0.6,0.0465116279069767,9.06245128288069e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Spila Nakovana","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Ex Palestra GIL","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Cala Giovanna","Rule_A_150km",2,3,0.0128407952328218,0.338709677419355,0.21046511627907,0.26863653272417,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grande Rivoire","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Arene Candide II","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo II","Rule_A_150km",2,2,0,0.75,0.0581395348837209,1.20832683771743e-16,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Fiorano Modenese","Rule_A_150km",1,1,0,0.318181818181818,0.178294573643411,0.148571862327834,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Sa Punta","Rule_A_150km",3,2,0.000553709856035437,0.75,0.0581395348837209,6.04163418858713e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Masseria Santa Tecchia","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Lokvica","Rule_A_150km",1,0,0,NA,0,0,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Rocchicella-Paliké","Rule_A_150km",1,1,0,0.666666666666667,0.0348837209302326,7.55204273573391e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Monte Arci","Rule_A_150km",4,2,0.000553709856035437,0.75,0.0581395348837209,3.02081709429356e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Lipari","Rule_A_150km",4,1,0,0.666666666666667,0.0348837209302326,3.02081709429356e-17,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Palmarola","Rule_A_150km",4,1,0,0.328125,0.186821705426357,0.258655236108102,"Rule_A",150,"4-3, 3-2, 3-1, 2-1"
"Abri Albertini","Rule_A_200km",1,3,0.00420372048279025,0.3125,0.270930232558139,0.213128401879117,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"La Lucciola","Rule_A_200km",1,5,0.074804523641733,0.46875,0.377906976744186,0.614955545725113,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Sant'Anna di Oria","Rule_A_200km",3,6,0.040531561461794,0.309278350515464,0.301771871539313,0.156041941606296,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"La Scola","Rule_A_200km",2,5,0.0256761971878251,0.410958904109589,0.350387596899225,0.481653904634821,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Masseria Acquasalsa","Rule_A_200km",1,1,0,0.348837209302326,0.281782945736434,0.16888720091869,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"La Marmotta","Rule_A_200km",3,13,0.119339015850644,0.461538461538462,0.443410852713178,1,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Umbro Bova Marina","Rule_A_200km",3,2,0.00110741971207087,1,0.0465116279069767,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta Continenza","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Portonovo","Rule_A_200km",1,3,0.0263683345078694,0.447761194029851,0.35077519379845,0.43687474835627,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Masseria Candelaro III","Rule_A_200km",1,2,0.0186784791435954,0.379746835443038,0.312790697674419,0.197733716141379,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta Scaloria","Rule_A_200km",1,2,0.0186784791435954,0.379746835443038,0.312790697674419,0.197733716141379,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Strette","Rule_A_200km",2,4,0.0339608711701735,0.29126213592233,0.276024363233665,0.189586028475673,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Marcianese","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Savignano sul Panaro","Rule_A_200km",1,1,0,0.283018867924528,0.230232558139535,0.0831236901582944,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Su Carroppu","Rule_A_200km",1,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Trasanello II","Rule_A_200km",1,2,0,0.241935483870968,0.220570321151716,0.0518204806466893,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Fornace Cappuccini","Rule_A_200km",2,7,0.0868205868205868,0.38961038961039,0.350387596899225,0.449648143134408,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Krivače","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Piani di Calisti","Rule_A_200km",1,3,0.0263683345078694,0.447761194029851,0.35077519379845,0.43687474835627,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Rio Saboccu","Rule_A_200km",3,2,0.000553709856035437,0.75,0.0581395348837209,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta dei Piccioni","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Pienza","Rule_A_200km",1,5,0.0493911988098035,0.375,0.344573643410853,0.481115949316695,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Casa Querciolaia","Rule_A_200km",1,4,0.0157295546830431,0.340909090909091,0.305813953488372,0.296252092037411,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta Sant'Angelo II","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Villa Badessa (Cepegatti)","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Pokrovnik","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Catignano","Rule_A_200km",3,15,0.256921373200443,0.526315789473684,0.483333333333333,0.913576095426501,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Danilo-Bitinj","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Colle Cera","Rule_A_200km",1,2,0.00285244471290983,0.405405405405405,0.319767441860465,0.353751058197975,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Balsignano II","Rule_A_200km",1,2,0,0.241935483870968,0.220570321151716,0.0518204806466893,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Spila Nakovana","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Ex Palestra GIL","Rule_A_200km",1,2,0.0229235880398671,0.379746835443038,0.312790697674419,0.191861166342691,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Cala Giovanna","Rule_A_200km",2,5,0.0256761971878251,0.410958904109589,0.350387596899225,0.481653904634822,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grande Rivoire","Rule_A_200km",1,0,0,NA,0,0,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Arene Candide II","Rule_A_200km",1,1,0,0.227272727272727,0.195404208194906,0.0350476045102731,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
"Grotta San Michele Arcangelo II","Rule_A_200km",2,5,0.0259136212624585,0.306122448979592,0.290143964562569,0.124275051717072,"Rule_A",200,"4-3, 3-2, 3-1, 2-1"
