"from","to","distance_rule_km"
"La Scola","Abri Albertini",300
"La Scola","La Lucciola",300
"La Scola","Grotta Continenza",300
"La Scola","Savignano sul Panaro",300
"La Scola","Pian di Calisti",300
"La Scola","Pienza",300
"La Scola","Casa Querciolaia",300
"La Scola","Grotta Sant'Angelo II",300
"La Scola","Arene Candide II",300
"La Scola","Fiorano Modenese",300
"La Marmotta","La Scola",300
"La Marmotta","Strette",300
"La Marmotta","Fornace Cappuccini",300
"La Marmotta","Cala Giovanna",300
"Strette","Abri Albertini",300
"Strette","La Lucciola",300
"Strette","Savignano sul Panaro",300
"Strette","Pian di Calisti",300
"Strette","Pienza",300
"Strette","Casa Querciolaia",300
"Strette","Arene Candide II",300
"Strette","Fiorano Modenese",300
"Fornace Cappuccini","La Lucciola",300
"Fornace Cappuccini","Grotta Continenza",300
"Fornace Cappuccini","Portonovo",300
"Fornace Cappuccini","Savignano sul Panaro",300
"Fornace Cappuccini","Pian di Calisti",300
"Fornace Cappuccini","Grotta dei Piccioni",300
"Fornace Cappuccini","Pienza",300
"Fornace Cappuccini","Casa Querciolaia",300
"Fornace Cappuccini","Grotta Sant'Angelo II",300
"Fornace Cappuccini","Villa Badessa (Cepegatti)",300
"Fornace Cappuccini","Colle Cera",300
"Fornace Cappuccini","Arene Candide II",300
"Fornace Cappuccini","Fiorano Modenese",300
"Catignano","Fornace Cappuccini",300
"Cala Giovanna","Abri Albertini",300
"Cala Giovanna","La Lucciola",300
"Cala Giovanna","Grotta Continenza",300
"Cala Giovanna","Savignano sul Panaro",300
"Cala Giovanna","Pian di Calisti",300
"Cala Giovanna","Pienza",300
"Cala Giovanna","Casa Querciolaia",300
"Cala Giovanna","Grotta Sant'Angelo II",300
"Cala Giovanna","Arene Candide II",300
"Cala Giovanna","Fiorano Modenese",300
"Monte Arci","Rio Saboccu",300
"Monte Arci","Sa Punta",300
"Monte Arci","Cuccuru is Arrius",300
"Lipari","Umbro Bova Marina",300
"Palmarola","La Marmotta",300
"Palmarola","Catignano",300
