"from","to","distance_rule_km"
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",550
"La Scola","Abri Albertini",550
"La Scola","La Lucciola",550
"La Scola","Masseria Acquasalsa",550
"La Scola","Grotta Continenza",550
"La Scola","Portonovo",550
"La Scola","Masseria Candelaro III",550
"La Scola","Grotta Scaloria",550
"La Scola","Marcianese",550
"La Scola","Savignano sul Panaro",550
"La Scola","Su Carroppu",550
"La Scola","Krivače",550
"La Scola","Piani di Calisti",550
"La Scola","Grotta dei Piccioni",550
"La Scola","Pienza",550
"La Scola","Casa Querciolaia",550
"La Scola","Grotta Sant'Angelo II",550
"La Scola","Villa Badessa (Cepegatti)",550
"La Scola","Pokrovnik",550
"La Scola","Danilo-Bitinj",550
"La Scola","Colle Cera",550
"La Scola","Ex Palestra GIL",550
"La Scola","Grande Rivoire",550
"La Scola","Arene Candide II",550
"La Scola","Fiorano Modenese",550
"La Scola","Masseria Santa Tecchia",550
"La Marmotta","La Scola",550
"La Marmotta","Strette",550
"La Marmotta","Fornace Cappuccini",550
"La Marmotta","Cala Giovanna",550
"La Marmotta","Grotta San Michele Arcangelo II",550
"Umbro Bova Marina","Grotta San Michele Arcangelo II",550
"Strette","Abri Albertini",550
"Strette","La Lucciola",550
"Strette","Masseria Acquasalsa",550
"Strette","Grotta Continenza",550
"Strette","Portonovo",550
"Strette","Masseria Candelaro III",550
"Strette","Marcianese",550
"Strette","Savignano sul Panaro",550
"Strette","Su Carroppu",550
"Strette","Krivače",550
"Strette","Piani di Calisti",550
"Strette","Grotta dei Piccioni",550
"Strette","Pienza",550
"Strette","Casa Querciolaia",550
"Strette","Grotta Sant'Angelo II",550
"Strette","Villa Badessa (Cepegatti)",550
"Strette","Colle Cera",550
"Strette","Ex Palestra GIL",550
"Strette","Grande Rivoire",550
"Strette","Arene Candide II",550
"Strette","Fiorano Modenese",550
"Strette","Masseria Santa Tecchia",550
"Fornace Cappuccini","Abri Albertini",550
"Fornace Cappuccini","La Lucciola",550
"Fornace Cappuccini","Masseria Acquasalsa",550
"Fornace Cappuccini","Grotta Continenza",550
"Fornace Cappuccini","Portonovo",550
"Fornace Cappuccini","Masseria Candelaro III",550
"Fornace Cappuccini","Grotta Scaloria",550
"Fornace Cappuccini","Marcianese",550
"Fornace Cappuccini","Savignano sul Panaro",550
"Fornace Cappuccini","Krivače",550
"Fornace Cappuccini","Piani di Calisti",550
"Fornace Cappuccini","Grotta dei Piccioni",550
"Fornace Cappuccini","Pienza",550
"Fornace Cappuccini","Casa Querciolaia",550
"Fornace Cappuccini","Grotta Sant'Angelo II",550
"Fornace Cappuccini","Villa Badessa (Cepegatti)",550
"Fornace Cappuccini","Pokrovnik",550
"Fornace Cappuccini","Danilo-Bitinj",550
"Fornace Cappuccini","Colle Cera",550
"Fornace Cappuccini","Balsignano II",550
"Fornace Cappuccini","Spila Nakovana",550
"Fornace Cappuccini","Ex Palestra GIL",550
"Fornace Cappuccini","Grande Rivoire",550
"Fornace Cappuccini","Arene Candide II",550
"Fornace Cappuccini","Fiorano Modenese",550
"Fornace Cappuccini","Masseria Santa Tecchia",550
"Fornace Cappuccini","Lokvica",550
"Rio Saboccu","La Scola",550
"Rio Saboccu","Strette",550
"Rio Saboccu","Cala Giovanna",550
"Catignano","La Scola",550
"Catignano","Strette",550
"Catignano","Fornace Cappuccini",550
"Catignano","Cala Giovanna",550
"Catignano","Grotta San Michele Arcangelo II",550
"Cala Giovanna","Abri Albertini",550
"Cala Giovanna","La Lucciola",550
"Cala Giovanna","Masseria Acquasalsa",550
"Cala Giovanna","Grotta Continenza",550
"Cala Giovanna","Portonovo",550
"Cala Giovanna","Masseria Candelaro III",550
"Cala Giovanna","Grotta Scaloria",550
"Cala Giovanna","Marcianese",550
"Cala Giovanna","Savignano sul Panaro",550
"Cala Giovanna","Su Carroppu",550
"Cala Giovanna","Krivače",550
"Cala Giovanna","Piani di Calisti",550
"Cala Giovanna","Grotta dei Piccioni",550
"Cala Giovanna","Pienza",550
"Cala Giovanna","Casa Querciolaia",550
"Cala Giovanna","Grotta Sant'Angelo II",550
"Cala Giovanna","Villa Badessa (Cepegatti)",550
"Cala Giovanna","Pokrovnik",550
"Cala Giovanna","Danilo-Bitinj",550
"Cala Giovanna","Colle Cera",550
"Cala Giovanna","Ex Palestra GIL",550
"Cala Giovanna","Grande Rivoire",550
"Cala Giovanna","Arene Candide II",550
"Cala Giovanna","Fiorano Modenese",550
"Cala Giovanna","Masseria Santa Tecchia",550
"Grotta San Michele Arcangelo II","La Lucciola",550
"Grotta San Michele Arcangelo II","Masseria Acquasalsa",550
"Grotta San Michele Arcangelo II","Grotta Continenza",550
"Grotta San Michele Arcangelo II","Portonovo",550
