"from","to","distance_rule_km"
"Sant'Anna di Oria","La Lucciola",550
"Sant'Anna di Oria","Masseria Acquasalsa",550
"Sant'Anna di Oria","Grotta Continenza",550
"Sant'Anna di Oria","Portonovo",550
"Sant'Anna di Oria","Masseria Candelaro III",550
"Sant'Anna di Oria","Grotta Scaloria",550
"Sant'Anna di Oria","Marcianese",550
"Sant'Anna di Oria","Trasanello II",550
"Sant'Anna di Oria","Krivače",550
"Sant'Anna di Oria","Pian di Calisti",550
"Sant'Anna di Oria","Grotta dei Piccioni",550
"Sant'Anna di Oria","Grotta Sant'Angelo II",550
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",550
"Sant'Anna di Oria","Pokrovnik",550
"Sant'Anna di Oria","Danilo-Bitinj",550
"Sant'Anna di Oria","Colle Cera",550
"Sant'Anna di Oria","Balsignano ",550
"Sant'Anna di Oria","Spila Nakovana",550
"Sant'Anna di Oria","Ex Palestra GIL",550
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",550
"Sant'Anna di Oria","Masseria Santa Tecchia",550
"Sant'Anna di Oria","Lokvica",550
"Sant'Anna di Oria","Rocchicella-Paliké",550
"La Scola","Abri Albertini",550
"La Scola","La Lucciola",550
"La Scola","Masseria Acquasalsa",550
"La Scola","Grotta Continenza",550
"La Scola","Portonovo",550
"La Scola","Masseria Candelaro III",550
"La Scola","Grotta Scaloria",550
"La Scola","Marcianese",550
"La Scola","Savignano sul Panaro",550
"La Scola","Su Carroppu",550
"La Scola","Krivače",550
"La Scola","Pian di Calisti",550
"La Scola","Grotta dei Piccioni",550
"La Scola","Pienza",550
"La Scola","Casa Querciolaia",550
"La Scola","Grotta Sant'Angelo II",550
"La Scola","Villa Badessa (Cepegatti)",550
"La Scola","Pokrovnik",550
"La Scola","Danilo-Bitinj",550
"La Scola","Colle Cera",550
"La Scola","Ex Palestra GIL",550
"La Scola","Grande Rivoire",550
"La Scola","Arene Candide II",550
"La Scola","Fiorano Modenese",550
"La Scola","Masseria Santa Tecchia",550
"La Marmotta","Abri Albertini",550
"La Marmotta","La Lucciola",550
"La Marmotta","La Scola",550
"La Marmotta","Masseria Acquasalsa",550
"La Marmotta","Grotta Continenza",550
"La Marmotta","Portonovo",550
"La Marmotta","Masseria Candelaro III",550
"La Marmotta","Grotta Scaloria",550
"La Marmotta","Strette",550
"La Marmotta","Marcianese",550
"La Marmotta","Savignano sul Panaro",550
"La Marmotta","Su Carroppu",550
"La Marmotta","Trasanello II",550
"La Marmotta","Fornace Cappuccini",550
"La Marmotta","Krivače",550
"La Marmotta","Pian di Calisti",550
"La Marmotta","Grotta dei Piccioni",550
"La Marmotta","Pienza",550
"La Marmotta","Casa Querciolaia",550
"La Marmotta","Grotta Sant'Angelo II",550
"La Marmotta","Villa Badessa (Cepegatti)",550
"La Marmotta","Pokrovnik",550
"La Marmotta","Danilo-Bitinj",550
"La Marmotta","Colle Cera",550
"La Marmotta","Balsignano ",550
"La Marmotta","Spila Nakovana",550
"La Marmotta","Ex Palestra GIL",550
"La Marmotta","Cala Giovanna",550
"La Marmotta","Arene Candide II",550
"La Marmotta","Grotta San Michele Arcangelo II",550
"La Marmotta","Fiorano Modenese",550
"La Marmotta","Masseria Santa Tecchia",550
"La Marmotta","Lokvica",550
"Umbro Bova Marina","Masseria Acquasalsa",550
"Umbro Bova Marina","Grotta Continenza",550
"Umbro Bova Marina","Masseria Candelaro III",550
"Umbro Bova Marina","Grotta Scaloria",550
