"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Candelaro III",450
"Sant'Anna di Oria","Grotta Scaloria",450
"Sant'Anna di Oria","Trasanello II",450
"Sant'Anna di Oria","Krivače",450
"Sant'Anna di Oria","Grotta Sant'Angelo II",450
"Sant'Anna di Oria","Villa Badessa (Cepegatti)",450
"Sant'Anna di Oria","Pokrovnik",450
"Sant'Anna di Oria","Danilo-Bitinj",450
"Sant'Anna di Oria","Colle Cera",450
"Sant'Anna di Oria","Balsignano II",450
"Sant'Anna di Oria","Ex Palestra GIL",450
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",450
"Sant'Anna di Oria","Masseria Santa Tecchia",450
"Sant'Anna di Oria","Rocchicella-Paliké",450
"La Scola","La Lucciola",450
"La Scola","Portonovo",450
"La Scola","Piani di Calisti",450
"La Scola","Pienza",450
"La Scola","Grotta Sant'Angelo II",450
"La Scola","Villa Badessa (Cepegatti)",450
"La Scola","Colle Cera",450
"La Scola","Fiorano Modenese",450
"La Marmotta","La Lucciola",450
"La Marmotta","La Scola",450
"La Marmotta","Portonovo",450
"La Marmotta","Masseria Candelaro III",450
"La Marmotta","Grotta Scaloria",450
"La Marmotta","Trasanello II",450
"La Marmotta","Fornace Cappuccini",450
"La Marmotta","Krivače",450
"La Marmotta","Piani di Calisti",450
"La Marmotta","Pienza",450
"La Marmotta","Grotta Sant'Angelo II",450
"La Marmotta","Villa Badessa (Cepegatti)",450
"La Marmotta","Pokrovnik",450
"La Marmotta","Danilo-Bitinj",450
"La Marmotta","Colle Cera",450
"La Marmotta","Balsignano II",450
"La Marmotta","Ex Palestra GIL",450
"La Marmotta","Cala Giovanna",450
"La Marmotta","Grotta San Michele Arcangelo II",450
"La Marmotta","Fiorano Modenese",450
"La Marmotta","Masseria Santa Tecchia",450
"Umbro Bova Marina","Masseria Candelaro III",450
"Umbro Bova Marina","Grotta Scaloria",450
"Umbro Bova Marina","Trasanello II",450
"Umbro Bova Marina","Balsignano II",450
"Umbro Bova Marina","Ex Palestra GIL",450
"Umbro Bova Marina","Grotta San Michele Arcangelo II",450
"Umbro Bova Marina","Masseria Santa Tecchia",450
"Umbro Bova Marina","Rocchicella-Paliké",450
"Fornace Cappuccini","La Lucciola",450
"Fornace Cappuccini","Portonovo",450
"Fornace Cappuccini","Masseria Candelaro III",450
"Fornace Cappuccini","Grotta Scaloria",450
"Fornace Cappuccini","Krivače",450
"Fornace Cappuccini","Piani di Calisti",450
"Fornace Cappuccini","Pienza",450
"Fornace Cappuccini","Grotta Sant'Angelo II",450
"Fornace Cappuccini","Villa Badessa (Cepegatti)",450
"Fornace Cappuccini","Pokrovnik",450
"Fornace Cappuccini","Danilo-Bitinj",450
"Fornace Cappuccini","Colle Cera",450
"Fornace Cappuccini","Ex Palestra GIL",450
"Fornace Cappuccini","Fiorano Modenese",450
"Fornace Cappuccini","Masseria Santa Tecchia",450
"Catignano","La Lucciola",450
"Catignano","La Scola",450
"Catignano","Portonovo",450
"Catignano","Masseria Candelaro III",450
"Catignano","Grotta Scaloria",450
"Catignano","Trasanello II",450
"Catignano","Fornace Cappuccini",450
"Catignano","Krivače",450
"Catignano","Piani di Calisti",450
"Catignano","Pienza",450
"Catignano","Grotta Sant'Angelo II",450
"Catignano","Villa Badessa (Cepegatti)",450
"Catignano","Pokrovnik",450
"Catignano","Danilo-Bitinj",450
"Catignano","Colle Cera",450
"Catignano","Balsignano II",450
"Catignano","Ex Palestra GIL",450
"Catignano","Cala Giovanna",450
"Catignano","Grotta San Michele Arcangelo II",450
"Catignano","Fiorano Modenese",450
"Catignano","Masseria Santa Tecchia",450
"Cala Giovanna","La Lucciola",450
"Cala Giovanna","Portonovo",450
"Cala Giovanna","Piani di Calisti",450
"Cala Giovanna","Pienza",450
"Cala Giovanna","Grotta Sant'Angelo II",450
"Cala Giovanna","Villa Badessa (Cepegatti)",450
"Cala Giovanna","Colle Cera",450
"Cala Giovanna","Fiorano Modenese",450
"Grotta San Michele Arcangelo II","Masseria Candelaro III",450
"Grotta San Michele Arcangelo II","Grotta Scaloria",450
"Grotta San Michele Arcangelo II","Trasanello II",450
"Grotta San Michele Arcangelo II","Grotta Sant'Angelo II",450
"Grotta San Michele Arcangelo II","Villa Badessa (Cepegatti)",450
"Grotta San Michele Arcangelo II","Pokrovnik",450
"Grotta San Michele Arcangelo II","Danilo-Bitinj",450
"Grotta San Michele Arcangelo II","Colle Cera",450
"Grotta San Michele Arcangelo II","Balsignano II",450
"Grotta San Michele Arcangelo II","Ex Palestra GIL",450
"Grotta San Michele Arcangelo II","Masseria Santa Tecchia",450
"Grotta San Michele Arcangelo II","Rocchicella-Paliké",450
"Lipari","Sant'Anna di Oria",450
"Lipari","Umbro Bova Marina",450
"Lipari","Catignano",450
