"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Acquasalsa",250
"Sant'Anna di Oria","Masseria Candelaro III",250
"Sant'Anna di Oria","Grotta Scaloria",250
"Sant'Anna di Oria","Trasanello II",250
"Sant'Anna di Oria","Balsignano ",250
"Sant'Anna di Oria","Ex Palestra GIL",250
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",250
"Sant'Anna di Oria","Masseria Santa Tecchia",250
"La Scola","Abri Albertini",250
"La Scola","La Lucciola",250
"La Scola","Savignano sul Panaro",250
"La Scola","Pian di Calisti",250
"La Scola","Pienza",250
"La Scola","Casa Querciolaia",250
"La Scola","Arene Candide II",250
"La Scola","Fiorano Modenese",250
"La Marmotta","La Lucciola",250
"La Marmotta","La Scola",250
"La Marmotta","Grotta Continenza",250
"La Marmotta","Portonovo",250
"La Marmotta","Strette",250
"La Marmotta","Marcianese",250
"La Marmotta","Fornace Cappuccini",250
"La Marmotta","Pian di Calisti",250
"La Marmotta","Grotta dei Piccioni",250
"La Marmotta","Pienza",250
"La Marmotta","Casa Querciolaia",250
"La Marmotta","Grotta Sant'Angelo II",250
"La Marmotta","Villa Badessa (Cepegatti)",250
"La Marmotta","Colle Cera",250
"La Marmotta","Cala Giovanna",250
"Umbro Bova Marina","Grotta San Michele Arcangelo II",250
"Umbro Bova Marina","Rocchicella-Paliké",250
"Strette","Abri Albertini",250
"Strette","La Lucciola",250
"Strette","Savignano sul Panaro",250
"Strette","Pienza",250
"Strette","Casa Querciolaia",250
"Strette","Arene Candide II",250
"Strette","Fiorano Modenese",250
"Fornace Cappuccini","La Lucciola",250
"Fornace Cappuccini","Portonovo",250
"Fornace Cappuccini","Savignano sul Panaro",250
"Fornace Cappuccini","Pian di Calisti",250
"Fornace Cappuccini","Pienza",250
"Fornace Cappuccini","Casa Querciolaia",250
"Fornace Cappuccini","Grotta Sant'Angelo II",250
"Fornace Cappuccini","Fiorano Modenese",250
"Rio Saboccu","Su Carroppu",250
"Catignano","La Lucciola",250
"Catignano","Masseria Acquasalsa",250
"Catignano","Grotta Continenza",250
"Catignano","Portonovo",250
"Catignano","Masseria Candelaro III",250
"Catignano","Grotta Scaloria",250
"Catignano","Marcianese",250
"Catignano","Krivače",250
"Catignano","Pian di Calisti",250
"Catignano","Grotta dei Piccioni",250
"Catignano","Pienza",250
"Catignano","Grotta Sant'Angelo II",250
"Catignano","Villa Badessa (Cepegatti)",250
"Catignano","Pokrovnik",250
"Catignano","Danilo-Bitinj",250
"Catignano","Colle Cera",250
"Catignano","Ex Palestra GIL",250
"Catignano","Masseria Santa Tecchia",250
"Cala Giovanna","Abri Albertini",250
"Cala Giovanna","La Lucciola",250
"Cala Giovanna","Savignano sul Panaro",250
"Cala Giovanna","Pian di Calisti",250
"Cala Giovanna","Pienza",250
"Cala Giovanna","Casa Querciolaia",250
"Cala Giovanna","Arene Candide II",250
"Cala Giovanna","Fiorano Modenese",250
"Sa Punta","Su Carroppu",250
"Cuccuru is Arrius","Su Carroppu",250
"Monte Arci","Rio Saboccu",250
"Monte Arci","Sa Punta",250
"Monte Arci","Cuccuru is Arrius",250
"Lipari","Umbro Bova Marina",250
"Palmarola","La Marmotta",250
"Palmarola","Catignano",250
