"from","to","distance_rule_km"
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",400
"La Scola","Abri Albertini",400
"La Scola","La Lucciola",400
"La Scola","Grotta Continenza",400
"La Scola","Portonovo",400
"La Scola","Marcianese",400
"La Scola","Savignano sul Panaro",400
"La Scola","Su Carroppu",400
"La Scola","Piani di Calisti",400
"La Scola","Grotta dei Piccioni",400
"La Scola","Pienza",400
"La Scola","Casa Querciolaia",400
"La Scola","Grotta Sant'Angelo II",400
"La Scola","Villa Badessa (Cepegatti)",400
"La Scola","Colle Cera",400
"La Scola","Arene Candide II",400
"La Scola","Fiorano Modenese",400
"La Marmotta","La Scola",400
"La Marmotta","Strette",400
"La Marmotta","Fornace Cappuccini",400
"La Marmotta","Cala Giovanna",400
"Umbro Bova Marina","Grotta San Michele Arcangelo II",400
"Strette","Abri Albertini",400
"Strette","La Lucciola",400
"Strette","Grotta Continenza",400
"Strette","Portonovo",400
"Strette","Savignano sul Panaro",400
"Strette","Su Carroppu",400
"Strette","Piani di Calisti",400
"Strette","Grotta dei Piccioni",400
"Strette","Pienza",400
"Strette","Casa Querciolaia",400
"Strette","Grotta Sant'Angelo II",400
"Strette","Villa Badessa (Cepegatti)",400
"Strette","Colle Cera",400
"Strette","Arene Candide II",400
"Strette","Fiorano Modenese",400
"Fornace Cappuccini","Abri Albertini",400
"Fornace Cappuccini","La Lucciola",400
"Fornace Cappuccini","Grotta Continenza",400
"Fornace Cappuccini","Portonovo",400
"Fornace Cappuccini","Marcianese",400
"Fornace Cappuccini","Savignano sul Panaro",400
"Fornace Cappuccini","Krivače",400
"Fornace Cappuccini","Piani di Calisti",400
"Fornace Cappuccini","Grotta dei Piccioni",400
"Fornace Cappuccini","Pienza",400
"Fornace Cappuccini","Casa Querciolaia",400
"Fornace Cappuccini","Grotta Sant'Angelo II",400
"Fornace Cappuccini","Villa Badessa (Cepegatti)",400
"Fornace Cappuccini","Pokrovnik",400
"Fornace Cappuccini","Danilo-Bitinj",400
"Fornace Cappuccini","Colle Cera",400
"Fornace Cappuccini","Arene Candide II",400
"Fornace Cappuccini","Fiorano Modenese",400
"Rio Saboccu","La Scola",400
"Rio Saboccu","Strette",400
"Rio Saboccu","Cala Giovanna",400
"Catignano","La Scola",400
"Catignano","Strette",400
"Catignano","Fornace Cappuccini",400
"Catignano","Cala Giovanna",400
"Catignano","Grotta San Michele Arcangelo II",400
"Cala Giovanna","Abri Albertini",400
"Cala Giovanna","La Lucciola",400
"Cala Giovanna","Grotta Continenza",400
"Cala Giovanna","Portonovo",400
"Cala Giovanna","Marcianese",400
"Cala Giovanna","Savignano sul Panaro",400
"Cala Giovanna","Su Carroppu",400
"Cala Giovanna","Piani di Calisti",400
"Cala Giovanna","Grotta dei Piccioni",400
"Cala Giovanna","Pienza",400
"Cala Giovanna","Casa Querciolaia",400
"Cala Giovanna","Grotta Sant'Angelo II",400
"Cala Giovanna","Villa Badessa (Cepegatti)",400
"Cala Giovanna","Colle Cera",400
"Cala Giovanna","Arene Candide II",400
"Cala Giovanna","Fiorano Modenese",400
"Grotta San Michele Arcangelo II","Masseria Acquasalsa",400
"Grotta San Michele Arcangelo II","Grotta Continenza",400
"Grotta San Michele Arcangelo II","Masseria Candelaro III",400
"Grotta San Michele Arcangelo II","Grotta Scaloria",400
"Grotta San Michele Arcangelo II","Marcianese",400
"Grotta San Michele Arcangelo II","Trasanello II",400
"Grotta San Michele Arcangelo II","Grotta dei Piccioni",400
"Grotta San Michele Arcangelo II","Grotta Sant'Angelo II",400
"Grotta San Michele Arcangelo II","Villa Badessa (Cepegatti)",400
"Grotta San Michele Arcangelo II","Colle Cera",400
"Grotta San Michele Arcangelo II","Balsignano II",400
"Grotta San Michele Arcangelo II","Spila Nakovana",400
"Grotta San Michele Arcangelo II","Ex Palestra GIL",400
"Grotta San Michele Arcangelo II","Masseria Santa Tecchia",400
"Grotta San Michele Arcangelo II","Lokvica",400
"Grotta San Michele Arcangelo II","Rocchicella-Paliké",400
"Sa Punta","La Scola",400
"Sa Punta","Strette",400
"Sa Punta","Cala Giovanna",400
"Monte Arci","La Marmotta",400
"Monte Arci","Rio Saboccu",400
"Monte Arci","Sa Punta",400
"Lipari","Sant'Anna di Oria",400
"Lipari","Umbro Bova Marina",400
"Palmarola","La Marmotta",400
"Palmarola","Rio Saboccu",400
"Palmarola","Catignano",400
"Palmarola","Sa Punta",400
