"from","to","distance_rule_km"
"La Scola","Abri Albertini",200
"La Scola","La Lucciola",200
"La Scola","Pienza",200
"La Scola","Casa Querciolaia",200
"La Marmotta","La Scola",200
"La Marmotta","Cala Giovanna",200
"Strette","Abri Albertini",200
"Strette","Pienza",200
"Strette","Casa Querciolaia",200
"Strette","Arene Candide II",200
"Fornace Cappuccini","La Lucciola",200
"Fornace Cappuccini","Portonovo",200
"Fornace Cappuccini","Savignano sul Panaro",200
"Fornace Cappuccini","Pian di Calisti",200
"Fornace Cappuccini","Pienza",200
"Fornace Cappuccini","Casa Querciolaia",200
"Fornace Cappuccini","Fiorano Modenese",200
"Cala Giovanna","Abri Albertini",200
"Cala Giovanna","La Lucciola",200
"Cala Giovanna","Pienza",200
"Cala Giovanna","Casa Querciolaia",200
"Monte Arci","Rio Saboccu",200
"Monte Arci","Sa Punta",200
"Monte Arci","Cuccuru is Arrius",200
"Lipari","Umbro Bova Marina",200
"Palmarola","La Marmotta",200
"Palmarola","Catignano",200
