"Network","Rule_set","Distance_km","Rank","mean_degree","mean_betweenness","mean_closeness","mean_harmonic","mean_eigenvector"
"Rule_A_100km","Rule_A",100,1,0.516129032258065,0.000153447452772284,0.644949494949495,0.0245601173020528,0.103336909383494
"Rule_A_100km","Rule_A",100,2,1.25,0.000264270613107822,0.7,0.0454545454545455,1.36276321782243e-16
"Rule_A_100km","Rule_A",100,3,2,0.00256720024161885,0.8,0.0551948051948052,0.406686241022756
"Rule_A_100km","Rule_A",100,4,1,0.000528541226215645,0.8,0.0265151515151515,0.25131814936838
"Rule_A_150km","Rule_A",150,1,1.19354838709677,0.00543885971492873,0.431442066357127,0.107453567937439,0.173122958928239
"Rule_A_150km","Rule_A",150,2,3.5,0.0255776200543642,0.352564220860707,0.2125,0.309758597063478
"Rule_A_150km","Rule_A",150,3,4,0.0258553738620184,0.70211038961039,0.129437229437229,0.276761174294034
"Rule_A_150km","Rule_A",150,4,1.66666666666667,0.000528541226215645,0.598263888888889,0.0987373737373737,0.086218412036034
"Rule_A_200km","Rule_A",200,1,1.70967741935484,0.00991353210203377,0.382046164453776,0.213652073732719,0.18559928568982
"Rule_A_200km","Rule_A",200,2,5.25,0.0410773965874389,0.370971933471933,0.323268398268398,0.402473500133701
"Rule_A_200km","Rule_A",200,3,6,0.0652013185311282,0.611129897547913,0.205983302411874,0.287637045129574
"Rule_A_200km","Rule_A",200,4,2,0.00143613727123241,0.622222222222222,0.141414141414141,0.11717693439318
"Rule_A_250km","Rule_A",250,1,2.35483870967742,0.0150127973748652,0.36822237701254,0.304816890099148,0.203402704526158
"Rule_A_250km","Rule_A",250,2,8.75,0.0370551444679352,0.372120239848517,0.42637987012987,0.639362059055698
"Rule_A_250km","Rule_A",250,3,7.42857142857143,0.113092241829783,0.498181781928031,0.272077922077922,0.252258556988427
"Rule_A_250km","Rule_A",250,4,2,0.00127597326328827,0.457101449275362,0.21140873015873,0.0806966977549544
"Rule_A_300km","Rule_A",300,1,3.19354838709677,0.0188531853800346,0.382323244645056,0.425403225806452,0.228818280809419
