"from","to","distance_rule_km"
"Sant'Anna di Oria","Masseria Acquasalsa",350
"Sant'Anna di Oria","Masseria Candelaro III",350
"Sant'Anna di Oria","Grotta Scaloria",350
"Sant'Anna di Oria","Marcianese",350
"Sant'Anna di Oria","Trasanello II",350
"Sant'Anna di Oria","Balsignano II",350
"Sant'Anna di Oria","Spila Nakovana",350
"Sant'Anna di Oria","Ex Palestra GIL",350
"Sant'Anna di Oria","Grotta San Michele Arcangelo II",350
"Sant'Anna di Oria","Masseria Santa Tecchia",350
"Sant'Anna di Oria","Lokvica",350
"La Scola","Abri Albertini",350
"La Scola","La Lucciola",350
"La Scola","Grotta Continenza",350
"La Scola","Portonovo",350
"La Scola","Savignano sul Panaro",350
"La Scola","Piani di Calisti",350
"La Scola","Grotta dei Piccioni",350
"La Scola","Pienza",350
"La Scola","Casa Querciolaia",350
"La Scola","Grotta Sant'Angelo II",350
"La Scola","Villa Badessa (Cepegatti)",350
"La Scola","Colle Cera",350
"La Scola","Arene Candide II",350
"La Scola","Fiorano Modenese",350
"La Marmotta","Abri Albertini",350
"La Marmotta","La Lucciola",350
"La Marmotta","La Scola",350
"La Marmotta","Masseria Acquasalsa",350
"La Marmotta","Grotta Continenza",350
"La Marmotta","Portonovo",350
"La Marmotta","Masseria Candelaro III",350
"La Marmotta","Grotta Scaloria",350
"La Marmotta","Strette",350
"La Marmotta","Marcianese",350
"La Marmotta","Savignano sul Panaro",350
"La Marmotta","Fornace Cappuccini",350
"La Marmotta","Piani di Calisti",350
"La Marmotta","Grotta dei Piccioni",350
"La Marmotta","Pienza",350
"La Marmotta","Casa Querciolaia",350
"La Marmotta","Grotta Sant'Angelo II",350
"La Marmotta","Villa Badessa (Cepegatti)",350
"La Marmotta","Colle Cera",350
"La Marmotta","Ex Palestra GIL",350
"La Marmotta","Cala Giovanna",350
"La Marmotta","Fiorano Modenese",350
"La Marmotta","Masseria Santa Tecchia",350
"Umbro Bova Marina","Trasanello II",350
"Umbro Bova Marina","Grotta San Michele Arcangelo II",350
"Umbro Bova Marina","Rocchicella-Paliké",350
"Strette","Abri Albertini",350
"Strette","La Lucciola",350
"Strette","Savignano sul Panaro",350
"Strette","Piani di Calisti",350
"Strette","Pienza",350
"Strette","Casa Querciolaia",350
"Strette","Grotta Sant'Angelo II",350
"Strette","Arene Candide II",350
"Strette","Fiorano Modenese",350
"Fornace Cappuccini","Abri Albertini",350
"Fornace Cappuccini","La Lucciola",350
"Fornace Cappuccini","Grotta Continenza",350
"Fornace Cappuccini","Portonovo",350
"Fornace Cappuccini","Marcianese",350
"Fornace Cappuccini","Savignano sul Panaro",350
"Fornace Cappuccini","Krivače",350
"Fornace Cappuccini","Piani di Calisti",350
"Fornace Cappuccini","Grotta dei Piccioni",350
"Fornace Cappuccini","Pienza",350
"Fornace Cappuccini","Casa Querciolaia",350
"Fornace Cappuccini","Grotta Sant'Angelo II",350
"Fornace Cappuccini","Villa Badessa (Cepegatti)",350
"Fornace Cappuccini","Pokrovnik",350
"Fornace Cappuccini","Danilo-Bitinj",350
"Fornace Cappuccini","Colle Cera",350
"Fornace Cappuccini","Arene Candide II",350
"Fornace Cappuccini","Fiorano Modenese",350
"Rio Saboccu","Abri Albertini",350
"Rio Saboccu","La Scola",350
"Rio Saboccu","Strette",350
"Rio Saboccu","Su Carroppu",350
"Rio Saboccu","Cala Giovanna",350
"Catignano","La Lucciola",350
"Catignano","La Scola",350
"Catignano","Masseria Acquasalsa",350
"Catignano","Grotta Continenza",350
"Catignano","Portonovo",350
"Catignano","Masseria Candelaro III",350
"Catignano","Grotta Scaloria",350
"Catignano","Marcianese",350
"Catignano","Savignano sul Panaro",350
"Catignano","Trasanello II",350
"Catignano","Fornace Cappuccini",350
"Catignano","Krivače",350
"Catignano","Piani di Calisti",350
"Catignano","Grotta dei Piccioni",350
"Catignano","Pienza",350
"Catignano","Casa Querciolaia",350
"Catignano","Grotta Sant'Angelo II",350
"Catignano","Villa Badessa (Cepegatti)",350
"Catignano","Pokrovnik",350
"Catignano","Danilo-Bitinj",350
"Catignano","Colle Cera",350
"Catignano","Balsignano II",350
"Catignano","Spila Nakovana",350
"Catignano","Ex Palestra GIL",350
"Catignano","Cala Giovanna",350
"Catignano","Grotta San Michele Arcangelo II",350
"Catignano","Masseria Santa Tecchia",350
"Catignano","Lokvica",350
"Cala Giovanna","Abri Albertini",350
"Cala Giovanna","La Lucciola",350
"Cala Giovanna","Grotta Continenza",350
"Cala Giovanna","Portonovo",350
"Cala Giovanna","Savignano sul Panaro",350
"Cala Giovanna","Piani di Calisti",350
"Cala Giovanna","Grotta dei Piccioni",350
"Cala Giovanna","Pienza",350
"Cala Giovanna","Casa Querciolaia",350
"Cala Giovanna","Grotta Sant'Angelo II",350
"Cala Giovanna","Villa Badessa (Cepegatti)",350
"Cala Giovanna","Colle Cera",350
"Cala Giovanna","Arene Candide II",350
"Cala Giovanna","Fiorano Modenese",350
"Grotta San Michele Arcangelo II","Masseria Acquasalsa",350
"Grotta San Michele Arcangelo II","Grotta Continenza",350
"Grotta San Michele Arcangelo II","Masseria Candelaro III",350
"Grotta San Michele Arcangelo II","Grotta Scaloria",350
"Grotta San Michele Arcangelo II","Marcianese",350
"Grotta San Michele Arcangelo II","Trasanello II",350
"Grotta San Michele Arcangelo II","Grotta dei Piccioni",350
"Grotta San Michele Arcangelo II","Villa Badessa (Cepegatti)",350
"Grotta San Michele Arcangelo II","Colle Cera",350
"Grotta San Michele Arcangelo II","Balsignano II",350
"Grotta San Michele Arcangelo II","Ex Palestra GIL",350
"Grotta San Michele Arcangelo II","Masseria Santa Tecchia",350
"Grotta San Michele Arcangelo II","Rocchicella-Paliké",350
"Sa Punta","Abri Albertini",350
"Sa Punta","La Scola",350
