"","Df","SumOfSqs","R2","F","Pr(>F)"
"Model",2,1531.18324088987,0.453884828236816,29.9201609136231,0.001
"Residual",72,1842.32286822151,0.546115171763184,NA,NA
"Total",74,3373.50610911138,1,NA,NA
